"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"1","Who was the most famous escape artist of the 20th century?","Harry Potter","Harry Blackstone Sr.","Harry Houdini","Harry August Jansen","Harry Belafonte","Harry Anderson","Harry Lorayne","Harry Kellar","Harry Chapin"
"","","Idle","Moderately Possitive","Highly Possitive","Moderately Negative","Highly Negative","Moderately Negative","Slightly Possitive","Idle","Slightly Negative"
"","","00:00:01.2446530","","","","","","","",""
"","","","00:00:01.5815014","","","","","","",""
"","","00:00:01.1887080","","","","","","","",""
"","","","","","00:00:00.6810154","","","","",""
"","","","","","","00:00:00.9346512","","","",""
"","","","","","","","","","","00:00:01.0150397"
"","","","","","","","","","00:00:00.8868099",""
"","","","","","","","","00:00:00.6368608","",""
"","","","","","","","","","00:00:00.0202997",""
"","","","","","","","00:00:00.7798310","","",""
"","","","","00:00:00.9596562","","","","","",""
"2","What was the painter Picasso first name?","Paavo","Pierre","Apollo","Paolo","Paco","Pablo","Peter","Padarn","Pedro"
"","","Slightly Possitive","Moderately Negative","Moderately Possitive","Idle","Highly Negative","Highly Possitive","Idle","Slightly Negative","Moderately Negative"
"","","","","00:00:06.3818224","","","","","",""
"","","","","","","","00:00:00.0231545","","",""
"","","","00:00:00.9996508","","","","","","",""
"","","00:00:00.6371168","","","","","","","",""
"","","","","","00:00:00.8643080","","","","",""
"","","","","","","00:00:00.7401105","","","",""
"","","","","","","","00:00:01.1554082","","",""
"","","","","","","","","","","00:00:00.7089530"
"","","","","","","","00:00:00.8893636","","",""
"3","Which one of these is not a zodiac sign?","Pisces","Scorpio","Aquarius","Libra","Taurus","Gemini","Leo","Pegasus","Cancer"
"","","Slightly Negative","Idle","Idle","Slightly Possitive","Moderately Negative","Moderately Possitive","Moderately Negative","Highly Possitive","Highly Negative"
"","","","","","","","00:00:06.9490272","","",""
"","","","00:00:00.0440112","","","","","","",""
"","","00:00:01.5582496","","","","","","","",""
"","","","00:00:01.0629072","","","","","","",""
"","","","","00:00:01.0952452","","","","","",""
"","","","","","","","00:00:01.3341409","","",""
"","","","","","","","","","","00:00:00.8428927"
"","","","","","","","","","00:00:00.8970727",""
"","","","","","","00:00:00.8989158","","","",""
"","","","","","00:00:00.7921205","","","","",""
"","","","","","","","","00:00:00.6102516","",""
"","","","","","","","","","00:00:00.6024333",""
"4","Who wrote Oliver Twist?","James Joyce","Shel Silverstein","Vladimir Nabokov","Boris Pasternak","Anton Chekhov","Leo Tolstoy","Tomie dePaola","Fyodor Dostoyevsky","Charles Dickens"
