"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"1","What is the highest point on the Earth continental crust?","K2","Mount Everest","Makalu","Mount Fiji","Mount Damavand","Lhotse","Kangchenjunga","Annapurna","Manaslu"
"","","Slightly Negative","Highly Possitive","Highly Negative","Moderately Negative","Idle","Moderately Negative","Idle","Moderately Possitive","Slightly Possitive"
"","","","","","","00:00:01.0470207","","","",""
"","","","","00:00:00.0643007","","","","","",""
"","","00:00:00.1772340","","","","","","","",""
"","","","00:00:01.8283102","","","","","","",""
"","","","","","","00:00:00.1133849","","","",""
"","","","","","","","","","00:00:00.3664207",""
"","","","","","","","","","","00:00:00.9335161"
"","","","","","","","","","00:00:00.2482441",""
"","","","","","","","","00:00:00.9639686","",""
"","","","","","00:00:01.1487180","","","","",""
"","","","","","","00:00:00.6505778","","","",""
"","","","","","","","00:00:00.8342701","","",""
"","","","","00:00:01.1864587","","","","","",""
"","","","00:00:00.6467694","","","","","","",""
"2","Which two colors make purple?","None","Orange and White","White and Red","Red and Blue","Red and Green","Red and Grey","Green and Orange","Blue and Yellow","Grey and Orange"
"","","Highly Negative","Slightly Negative","Moderately Possitive","Highly Possitive","Moderately Negative","Moderately Negative","Idle","Idle","Slightly Possitive"
"","","","00:00:04.7098390","","","","","","",""
"","","00:00:00.0484788","","","","","","","",""
"","","","","","00:00:01.1815599","","","","",""
"3","Which fruits are most commonly used to make wine?","Grapes","Wheat","Potatoes","Pear","Oranges","Blackberry","Strawberries","Lemons","Apples"
"","","Highly Possitive","Moderately Negative","Slightly Possitive","Idle","Slightly Negative","Idle","Moderately Possitive","Highly Negative","Moderately Negative"
"","","","","","00:00:05.1674402","","","","",""
"","","00:00:00.7500880","","","","","","","",""
"4","Which Italian city has a famous leaning tower?","Venice","Turin","Milan","Rome","Eiffel","Paris","Florence","Pisa","Siena"
"","","Moderately Possitive","Slightly Possitive","Idle","Moderately Negative","Moderately Negative","Idle","Highly Negative","Highly Possitive","Slightly Negative"
"","","00:00:05.6293058","","","","","","","",""
"","","","","","00:00:01.3497371","","","","",""
"","","00:00:01.2518221","","","","","","","",""
"","","","00:00:00.0250242","","","","","","",""
"","","","","00:00:00.0214135","","","","","",""
"","","","","00:00:01.2566011","","","","","",""
"","","","","","","","00:00:00.2079056","","",""
"","","","","","","","","","","00:00:00.2491543"
"","","","","","","","","","00:00:00.2747121",""
"","","","","","","00:00:00.3804105","","","",""
"","","","","","","","","","00:00:02.6641190",""
