"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"1","Who was the most famous escape artist of the 20th century?","Harry Lorayne","Harry Anderson","Harry Blackstone Sr.","Harry August Jansen","Harry Belafonte","Harry Kellar","Harry Potter","Harry Chapin","Harry Houdini"
"","","Slightly Negative","Moderately Negative","Slightly Possitive","Idle","Highly Negative","Highly Possitive","Idle","Moderately Possitive","Moderately Negative"
"","","","","","","","","","00:00:00.5440895",""
"","","","","","00:00:00.0932983","","","","",""
"","","00:00:03.1340605","","","","","","","",""
"","","","00:00:02.0680562","","","","","","",""
"","","","","00:00:01.9784371","","","","","",""
"","","","","","","","00:00:02.0253677","","",""
"","","","","","","00:00:01.7401894","","","",""
"","","","","","00:00:01.6702942","","","","",""
"","","","","","","","","00:00:01.2987680","",""
"","","","","","","","","","00:00:01.4788402",""
"","","","","","","","","","","00:00:00.8236719"
"","","","","","","","","","00:00:00.2190668",""
"2","What was the painter Picasso first name?","Apollo","Paolo","Paavo","Padarn","Pedro","Peter","Paco","Pierre","Pablo"
"","","Moderately Negative","Highly Possitive","Idle","Slightly Negative","Slightly Possitive","Highly Negative","Moderately Possitive","Moderately Negative","Idle"
"","","","","","","","","","00:00:03.8831997",""
"","","","","","","00:00:00.0222564","","","",""
"","","00:00:04.8613576","","","","","","","",""
"","","","00:00:00.0434574","","","","","","",""
"","","","00:00:01.7723948","","","","","","",""
"3","Which one of these is not a zodiac sign?","Pegasus","Taurus","Scorpio","Leo","Aquarius","Pisces","Libra","Cancer","Gemini"
"","","Slightly Possitive","Highly Negative","Moderately Negative","Highly Possitive","Slightly Negative","Moderately Possitive","Idle","Idle","Moderately Negative"
"","","","00:00:04.2872170","","","","","","",""
"","","00:00:02.1498931","","","","","","","",""
"","","","00:00:01.4182396","","","","","","",""
"","","","","00:00:03.8442114","","","","","",""
"","","","","","","","00:00:02.0574971","","",""
"","","","","","","00:00:02.4204123","","","",""
"","","","","","00:00:00.0651492","","","","",""
"","","","","","00:00:02.2004771","","","","",""
"","","","","","","","","00:00:00.9286125","",""
"","","","","","","","","","00:00:00.8881567",""
"","","","","","","","","","","00:00:00.2811061"
"","","","","","","00:00:00.0436675","","","",""
"","","00:00:00.4133645","","","","","","","",""
"4","Who wrote Oliver Twist?","Leo Tolstoy","Anton Chekhov","James Joyce","Vladimir Nabokov","Charles Dickens","Fyodor Dostoyevsky","Boris Pasternak","Tomie dePaola","Shel Silverstein"
"","","Moderately Possitive","Moderately Negative","Highly Negative","Highly Possitive","Moderately Negative","Idle","Idle","Slightly Negative","Slightly Possitive"
"","","","","","00:00:03.2948895","","","","",""
"","","00:00:02.3980588","","","","","","","",""
"","","","00:00:01.2876771","","","","","","",""
"","","","","00:00:00.8478563","","","","","",""
"","","","","","","","00:00:01.3283314","","",""
"","","","","","","00:00:00.9385001","","","",""
"","","","","","00:00:00.7974445","","","","",""
"","","","","","","","","00:00:01.7242560","",""
"","","","","","","","","","00:00:01.1613365",""
"","","","","","","","","","","00:00:01.9584632"
"","","","","","","","00:00:01.1780314","","",""
"","","","","","","00:00:00.0464955","","","",""
"","","","","","","","","00:00:01.1705849","",""
"5","What is the capital of the Thailand?","Kuala Lumpur","Jakarta","Manila","Taipei","Bangkok","Lhasa","Kathmandu","Hanoi","Dhaka"
"","","Moderately Possitive","Slightly Negative","Moderately Negative","Highly Negative","Moderately Negative","Idle","Highly Possitive","Slightly Possitive","Idle"
"","","","","","","","","00:00:03.3163974","",""
"","","","","","00:00:00.0658865","","","","",""
"","","00:00:01.6730420","","","","","","","",""
"","","","00:00:02.5484282","","","","","","",""
"","","","","00:00:02.3297058","","","","","",""
"","","","","","","","00:00:01.2638387","","",""
"","","","","","","00:00:02.5304626","","","",""
"","","","","","00:00:01.1968880","","","","",""
"","","","","","","","","00:00:01.5048951","",""
"","","","","","","","","","","00:00:01.3121689"
"","","","","","","00:00:00.1517227","","","",""
"","","","","","00:00:00.9691440","","","","",""
"","","00:00:00.0446698","","","","","","","",""
"","","","00:00:01.2886863","","","","","","",""
"","","00:00:01.4946726","","","","","","","",""
"","","","","00:00:02.7328053","","","","","",""
"","","","","","","","00:00:00.9675953","","",""
"","","","","00:00:01.0142266","","","","","",""
"","","","00:00:00.0443459","","","","","","",""
"","","00:00:01.5154578","","","","","","","",""
"6","From which country does pizza originate?","Finland","Mexico","England","Italy","Belgium","Scotland","Switzerland","France","Germany"
"","","Idle","Highly Possitive","Slightly Possitive","Idle","Slightly Negative","Moderately Negative","Moderately Possitive","Moderately Negative","Highly Negative"
"","","00:00:05.2525099","","","","","","","",""
"","","","","","00:00:00.5519698","","","","",""
"7","Lara Croft is a fictional character and the protagonist of which video game series?","Raiders of the Lost Ark","Overwatch","Ark Raider","Prince of Persia","Assassins Creed","Treasure Raider","The Last of Us","Tomb Raider","Heavy Rain"
"","","Idle","Moderately Negative","Moderately Possitive","Slightly Negative","Highly Negative","Slightly Possitive","Highly Possitive","Moderately Negative","Idle"
"","","","","","","","","00:00:02.5343170","",""
"","","00:00:02.2980126","","","","","","","",""
"","","","00:00:01.4887656","","","","","","",""
"","","","","00:00:01.4733444","","","","","",""
"","","","","","","","00:00:01.8159345","","",""
"","","","","","","00:00:01.4100968","","","",""
"","","","","","00:00:01.8829397","","","","",""
"","","","","","","","","00:00:01.0384615","",""
"","","","","","","","","","00:00:01.4383965",""
"","","","","","","","","","","00:00:01.8697882"
"","","","","","","00:00:00.0879509","","","",""
"","","00:00:00.6678851","","","","","","","",""
"","","","","","","","00:00:00.2994825","","",""
"","","","","","","00:00:00.0896401","","","",""
"","","00:00:00.5603434","","","","","","","",""
"","","","","","","","","","","00:00:00.2444510"
"8","What city was once called New Amsterdam?","Newark","Los Angeles","Houston","Washington D.C.","New Orleans","Philadelphia","New York City","Boston","Chicago"
"","","Moderately Negative","Highly Possitive","Highly Negative","Slightly Possitive","Idle","Moderately Possitive","Slightly Negative","Moderately Negative","Idle"
"","","","","","","","","","00:00:04.7005388",""
"","","","","","","00:00:00.3107627","","","",""
"","","","00:00:00.4908275","","","","","","",""
"","","00:00:02.0491955","","","","","","","",""
"9","In which country is the Mount Everest situated?","United States","Vietnam","Russia","Nepal","Kazakhistan","Tanzania","India","Sri Lanka","Japan"
"","","Slightly Possitive","Highly Possitive","Idle","Moderately Negative","Highly Negative","Slightly Negative","Idle","Moderately Negative","Moderately Possitive"
"","","00:00:06.6387796","","","","","","","",""
"","","","","00:00:01.3556990","","","","","",""
