"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"1","What is the highest point on the Earth continental crust?","Mount Fiji","Kangchenjunga","Lhotse","K2","Annapurna","Mount Damavand","Manaslu","Makalu","Mount Everest"
"","","Idle","Slightly Negative","Highly Negative","Idle","Slightly Possitive","Moderately Negative","Moderately Possitive","Moderately Negative","Highly Possitive"
"","","","","","","","","","","00:00:00.3687150"
"","","","","","","","","","","00:00:00.9963767"
"","","","","","","","00:00:00.6442375","","",""
"","","00:00:01.4509771","","","","","","","",""
"","","","00:00:01.1975001","","","","","","",""
"","","","","00:00:00.9464156","","","","","",""
"","","","","","","","00:00:01.6129750","","",""
"","","","","","","00:00:02.1690354","","","",""
"","","","","","00:00:01.6661544","","","","",""
"","","","","","","","","00:00:01.6159965","",""
"","","","","","","","","","00:00:02.0050416",""
"","","","","","","","","","","00:00:01.2433513"
"2","Which two colors make purple?","None","White and Red","Red and Green","Red and Grey","Orange and White","Grey and Orange","Green and Orange","Blue and Yellow","Red and Blue"
"","","Idle","Highly Possitive","Highly Negative","Slightly Possitive","Idle","Moderately Possitive","Slightly Negative","Moderately Negative","Moderately Negative"
"","","","","","","00:00:03.9893021","","","",""
"","","","00:00:00.0218667","","","","","","",""
"","","00:00:01.2059438","","","","","","","",""
"","","","00:00:01.9961429","","","","","","",""
"","","","","00:00:02.1299498","","","","","",""
"","","","","","00:00:00.9836181","","","","",""
"","","","","","","00:00:00.0660888","","","",""
"","","","","","","00:00:01.3448533","","","",""
"","","","","","","","00:00:01.8778623","","",""
"","","","","","","","","","","00:00:02.3240350"
"","","","","","","","","","00:00:02.2760556",""
"","","","","","","","","00:00:01.6505798","",""
"","","","","","","","","","00:00:00.0692893",""
"","","","","","","","","","","00:00:01.6905488"
"","","","","","","00:00:01.0390880","","","",""
"","","","00:00:03.3679844","","","","","","",""
"","","","","","","","00:00:00.0401715","","",""
"","","","","","","","","","","00:00:03.2678080"
"3","Which fruits are most commonly used to make wine?","Grapes","Apples","Strawberries","Wheat","Pear","Blackberry","Oranges","Lemons","Potatoes"
"","","Highly Possitive","Moderately Negative","Moderately Possitive","Highly Negative","Moderately Negative","Idle","Idle","Slightly Possitive","Slightly Negative"
"","","","","","","00:00:08.2353029","","","",""
"","","","00:00:02.3174328","","","","","","",""
"","","","","00:00:02.0885184","","","","","",""
"","","","","","","","00:00:01.3312502","","",""
"","","","","","","00:00:02.6900227","","","",""
"","","","","","00:00:01.7987618","","","","",""
"","","","","","","","","00:00:01.7739007","",""
"","","","","","","","","","00:00:01.8596596",""
"","","","","","","","","","","00:00:01.5792221"
"","","","","","","","00:00:01.8335877","","",""
"","","","","","","00:00:02.3181248","","","",""
"","","","","","00:00:01.2012417","","","","",""
"","","","00:00:01.6225644","","","","","","",""
"","","","","00:00:01.0838660","","","","","",""
"","","","00:00:00.1708430","","","","","","",""
"","","00:00:00.4549944","","","","","","","",""
"4","Which Italian city has a famous leaning tower?","Paris","Florence","Eiffel","Siena","Turin","Rome","Venice","Milan","Pisa"
"","","Highly Negative","Moderately Possitive","Moderately Negative","Moderately Negative","Slightly Possitive","Idle","Idle","Highly Possitive","Slightly Negative"
"","","","00:00:02.2182029","","","","","","",""
"","","00:00:02.9712100","","","","","","","",""
"","","","00:00:02.9233891","","","","","","",""
"","","","","00:00:01.6422758","","","","","",""
"","","","","","","","00:00:01.3411800","","",""
"","","","","","","00:00:01.8479299","","","",""
"","","","","","00:00:02.1870990","","","","",""
"","","","","","","","","00:00:01.4451129","",""
"","","","","","","","","","00:00:01.8066068",""
"","","","","","","","","","","00:00:02.9276711"
"5","A common currency for the members of the Common Market in Europe is known as:","Euro","Forint","Pound","Krouna","Leu","Sterling","Franc","Krone","Dollar"
"","","Highly Negative","Slightly Negative","Moderately Negative","Moderately Possitive","Idle","Slightly Possitive","Idle","Moderately Negative","Highly Possitive"
"","","","","","","","","","00:00:02.0633620",""
"","","","","","","00:00:01.0092259","","","",""
"","","00:00:01.4088168","","","","","","","",""
"","","","00:00:01.1753359","","","","","","",""
"","","","","00:00:00.8306749","","","","","",""
"","","","","","","","00:00:01.1065935","","",""
"","","","","","","00:00:01.5035409","","","",""
"","","","","","00:00:01.2945281","","","","",""
"","","","","","","","","00:00:01.0718244","",""
"","","","","","","","","","00:00:00.9521860",""
"","","","","","","","","","","00:00:00.8913014"
"","","","","","","00:00:00.0879523","","","",""
"","","00:00:00.3043492","","","","","","","",""
"6","Where is Palace of Versailles located at?","Argentina","France","Mexico","Brazil","Italy","Spain","Greece","Peru","Chile"
"","","Highly Negative","Slightly Negative","Moderately Negative","Idle","Slightly Possitive","Moderately Negative","Moderately Possitive","Idle","Highly Possitive"
"","","","","","","00:00:06.1879073","","","",""
"","","","00:00:02.2212719","","","","","","",""
"","","","","00:00:02.0220877","","","","","",""
"","","","","","","","00:00:02.1829309","","",""
"","","","","","","00:00:02.1986304","","","",""
"","","","","","00:00:01.5550933","","","","",""
"","","","","","","","","00:00:01.9744496","",""
"","","","","","","","","","00:00:01.3144218",""
"","","","","","","","","","","00:00:01.9232659"
"","","","","","","00:00:01.6943017","","","",""
"","","","","","","","","","","00:00:01.6734792"
"","","","","","","00:00:01.6596648","","","",""
"","","","00:00:01.4091666","","","","","","",""
"","","","","","","00:00:01.6996345","","","",""
"","","","","","","","","","","00:00:00.7190149"
"7","What is the common name for sodium chloride?","Baking powder","Chocolate","Turmeric","Syrup","Salt","Mustard","Vinegar","Pepper","Ketchup"
"","","Moderately Negative","Moderately Possitive","Slightly Negative","Moderately Negative","Highly Possitive","Idle","Highly Negative","Slightly Possitive","Idle"
"","","","","","00:00:02.2006754","","","","",""
"","","","","","","00:00:00.3990164","","","",""
"","","00:00:04.0631685","","","","","","","",""
"","","00:00:00.5884628","","","","","","","",""
"","","","00:00:00.0424454","","","","","","",""
"","","","00:00:01.4182627","","","","","","",""
"","","","","00:00:00.1123702","","","","","",""
"","","","","00:00:01.5755089","","","","","",""
"","","","","","","","00:00:01.3039697","","",""
"","","","","","","00:00:01.5148718","","","",""
"","","","","","00:00:01.2289014","","","","",""
"","","","","","","","","00:00:01.1073260","",""
"","","","","","","","","","00:00:00.9277799",""
"","","","","","","","","","","00:00:00.7617365"
"","","","","","","00:00:00.8026442","","","",""
"8","What is the main ingredient of omelette?","Potato","Cheese","Butter","Garlic","Egg","Milk","Bacon","Sausage","Onion"
"","","Slightly Negative","Highly Possitive","Highly Negative","Moderately Negative","Idle","Slightly Possitive","Moderately Negative","Moderately Possitive","Idle"
"","","","","","","00:00:05.9744403","","","",""
"","","","","","","00:00:00.5039877","","","",""
"","","","","","","","00:00:00.8609826","","",""
"","","","","","","","","","","00:00:01.3023288"
"","","","","","","","","","00:00:01.3653744",""
"","","","","","","","","00:00:01.2665013","",""
"","","","","","00:00:00.9735654","","","","",""
"","","00:00:01.3113913","","","","","","","",""
"","","","00:00:01.8987428","","","","","","",""
"","","","","00:00:02.0086409","","","","","",""
"","","","00:00:01.4127662","","","","","","",""
"","","","","00:00:00.8084393","","","","","",""
"","","","","","","","00:00:00.7382946","","",""
"","","","","","","00:00:01.0929900","","","",""
"9","Who is the King of the Gods in Greek Mythology?","Apollo","Hera","Demeter","Athena","Ares","Zeus","Poseidon","Dionysus","Artemis"
"","","Slightly Possitive","Moderately Negative","Moderately Negative","Moderately Possitive","Idle","Highly Possitive","Idle","Slightly Negative","Highly Negative"
"","","","","","00:00:03.0835809","","","","",""
"","","","00:00:00.0212624","","","","","","",""
"","","","","00:00:00.1924176","","","","","",""
"","","","","","","","00:00:02.1681090","","",""
"","","","","","","00:00:00.7471482","","","",""
"","","","","00:00:00.6131432","","","","","",""
"","","","00:00:00.3088093","","","","","","",""
"","","","","","","","00:00:00.8892273","","",""
"10","Sports car manufacturer Ferrari are based where?","Stuttgart, Germany","Boulogne-Billancourt, France","Wolfsburg, Germany","Maranello, Italy","Toulouse, France","Luxembourg, Luxembourg","Montevideo, Uruguay","Malmo, Sweden","Madrid, Spain"
"","","Moderately Possitive","Highly Possitive","Slightly Possitive","Idle","Idle","Slightly Negative","Highly Negative","Moderately Negative","Moderately Negative"
"","","00:00:04.6732947","","","","","","","",""
"","","","","","00:00:01.9454619","","","","",""
"","","","","","","00:00:01.0020942","","","",""
"","","","","","00:00:01.9900875","","","","",""
"11","Who directed the 1983 film ET the Extra-Terrestrial?","Quentin Tarantino","James Cameron","Drew Barrymore","Steven Spielberg","Tom Hanks","Robin Williams","Stanley Kubrick","Woody Allen","Martin Scorsese"
"","","Slightly Possitive","Moderately Negative","Slightly Negative","Highly Possitive","Moderately Negative","Moderately Possitive","Idle","Highly Negative","Idle"
"","","","","","00:00:03.9790735","","","","",""
"","","00:00:01.8151326","","","","","","","",""
"","","","00:00:01.7759917","","","","","","",""
"","","","","00:00:01.9486345","","","","","",""
"","","","","","","","00:00:01.6972520","","",""
"","","","","","","00:00:02.0438934","","","",""
