"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"1","What is the highest point on the Earth continental crust?","Kangchenjunga","Lhotse","Mount Damavand","Annapurna","Mount Everest","Manaslu","Makalu","Mount Fiji","K2"
"","","Slightly Possitive","Idle","Moderately Negative","Slightly Negative","Highly Possitive","Moderately Possitive","Idle","Moderately Negative","Highly Negative"
"","","","","","","","","","","00:00:01.2636204"
"","","","00:00:01.1797904","","","","","","",""
"","","00:00:01.2464879","","","","","","","",""
"","","","","","00:00:01.3397342","","","","",""
"","","","","","","","","00:00:01.8454490","",""
"","","","","","","","","","00:00:00.9122042",""
"","","","","","","00:00:02.7733058","","","",""
"2","Which two colors make purple?","Blue and Yellow","Grey and Orange","Green and Orange","Red and Grey","Red and Blue","White and Red","Red and Green","Orange and White","None"
"","","Idle","Slightly Negative","Moderately Possitive","Slightly Possitive","Highly Possitive","Idle","Moderately Negative","Highly Negative","Moderately Negative"
"","","","","","","","00:00:02.2167571","","",""
"","","","00:00:01.5845990","","","","","","",""
"","","00:00:00.3260728","","","","","","","",""
"","","","","","00:00:00.6973461","","","","",""
"","","","","","","00:00:01.7694658","","","",""
"","","","","","","","00:00:01.0870573","","",""
"","","","","00:00:00.0643719","","","","","",""
"","","","","00:00:01.8159523","","","","","",""
"","","","","","","","00:00:00.0432498","","",""
"","","","","","","","","","","00:00:01.0829884"
"","","","","","","","","","00:00:01.2489583",""
"","","","","","","","","00:00:00.9568722","",""
"","","","","","00:00:01.5749259","","","","",""
"","","00:00:00.9912269","","","","","","","",""
"","","","","","","00:00:01.0093235","","","",""
"3","Which fruits are most commonly used to make wine?","Pear","Oranges","Apples","Grapes","Wheat","Potatoes","Strawberries","Blackberry","Lemons"
"","","Idle","Highly Negative","Moderately Possitive","Highly Possitive","Moderately Negative","Slightly Possitive","Moderately Negative","Slightly Negative","Idle"
"","","","","","","00:00:05.4847252","","","",""
"","","","","","00:00:01.3444894","","","","",""
"","","00:00:00.9684171","","","","","","","",""
"","","","00:00:00.9351299","","","","","","",""
"","","","","00:00:01.2251531","","","","","",""
"","","","","","","","00:00:01.2101209","","",""
"","","","","","","","","","","00:00:00.9568520"
"","","","","","","","","","00:00:00.3944157",""
"","","","","","","","","00:00:01.3890030","",""
"","","","","","00:00:00.4846185","","","","",""
"4","Which Italian city has a famous leaning tower?","Venice","Florence","Rome","Paris","Turin","Eiffel","Siena","Pisa","Milan"
"","","Moderately Possitive","Slightly Negative","Idle","Moderately Negative","Slightly Possitive","Highly Negative","Idle","Highly Possitive","Moderately Negative"
"","","","","","","00:00:03.6249682","","","",""
"","","","","00:00:01.1859404","","","","","",""
"","","","","","","","00:00:00.8780441","","",""
"","","","","","","00:00:00.5068719","","","",""
"","","","00:00:00.9094828","","","","","","",""
"","","00:00:01.3147842","","","","","","","",""
"","","","","","00:00:00.0414242","","","","",""
"","","","","","","","","00:00:00.2428997","",""
"","","","","","00:00:00.6743685","","","","",""
"","","","","","","","","00:00:01.3082502","",""
"","","","","","","","","","00:00:01.6040865",""
"5","A common currency for the members of the Common Market in Europe is known as:","Krone","Pound","Sterling","Forint","Krouna","Dollar","Euro","Franc","Leu"
"","","Moderately Negative","Slightly Negative","Moderately Possitive","Slightly Possitive","Moderately Negative","Highly Negative","Highly Possitive","Idle","Idle"
"","","","","","","","","","00:00:02.3659330",""
"","","","","","","00:00:00.2004419","","","",""
"","","","00:00:03.5740835","","","","","","",""
"","","00:00:00.9949945","","","","","","","",""
"","","","00:00:00.0432471","","","","","","",""
"","","","","00:00:03.7439611","","","","","",""
"","","","","","","","00:00:00.9342271","","",""
"","","","","","","00:00:01.4632778","","","",""
"","","","","","00:00:01.1383594","","","","",""
"","","","","","","","","00:00:01.5486302","",""
"","","","","","","","","","00:00:00.2370252",""
"","","","","","","","","00:00:00.5436391","",""
"6","Where is Palace of Versailles located at?","Mexico","Argentina","Brazil","Peru","Italy","Spain","France","Chile","Greece"
"","","Idle","Highly Negative","Slightly Negative","Slightly Possitive","Idle","Moderately Negative","Highly Possitive","Moderately Possitive","Moderately Negative"
"","","","","","","00:00:04.7451338","","","",""
"","","","","","","00:00:00.0660082","","","",""
"","","","","","","","","00:00:00.2190286","",""
"","","","","","00:00:00.1071971","","","","",""
"","","","","","00:00:00.0662795","","","","",""
"","","","","","","","","00:00:00.9382101","",""
"7","What is the common name for sodium chloride?","Vinegar","Pepper","Salt","Syrup","Turmeric","Chocolate","Mustard","Baking powder","Ketchup"
"","","Idle","Highly Negative","Highly Possitive","Moderately Possitive","Moderately Negative","Idle","Slightly Negative","Slightly Possitive","Moderately Negative"
"","","","","","","","","00:00:03.3778812","",""
"","","","","00:00:00.0452128","","","","","",""
"","","","","00:00:01.4895059","","","","","",""
"8","What is the main ingredient of omelette?","Garlic","Potato","Sausage","Onion","Butter","Egg","Milk","Bacon","Cheese"
"","","Moderately Possitive","Highly Negative","Slightly Possitive","Slightly Negative","Idle","Highly Possitive","Moderately Negative","Moderately Negative","Idle"
"","","","","","","","00:00:04.8392296","","",""
"9","Who is the King of the Gods in Greek Mythology?","Ares","Apollo","Zeus","Poseidon","Hera","Dionysus","Demeter","Artemis","Athena"
"","","Moderately Possitive","Slightly Possitive","Highly Possitive","Moderately Negative","Moderately Negative","Highly Negative","Idle","Idle","Slightly Negative"
"","","","","","","","00:00:03.9109807","","",""
"","","","","00:00:01.5221263","","","","","",""
"10","Sports car manufacturer Ferrari are based where?","Boulogne-Billancourt, France","Stuttgart, Germany","Wolfsburg, Germany","Luxembourg, Luxembourg","Toulouse, France","Maranello, Italy","Madrid, Spain","Montevideo, Uruguay","Malmo, Sweden"
"","","Highly Negative","Idle","Slightly Possitive","Slightly Negative","Moderately Negative","Highly Possitive","Moderately Negative","Moderately Possitive","Idle"
"","","","","00:00:05.9709512","","","","","",""
"","","","","00:00:01.2917160","","","","","",""
"","","","","","","","00:00:01.5177792","","",""
"","","","","","","00:00:00.7747012","","","",""
"","","","","","00:00:01.0547169","","","","",""
"","","00:00:00.9124436","","","","","","","",""
"","","","","","00:00:00.0440064","","","","",""
"","","","","","","","","00:00:00.0898318","",""
"","","","","","","","","00:00:00.8473883","",""
"","","","","","","","","","00:00:01.4173988",""
"","","","","","","","","","","00:00:01.0801901"
"","","","","","","","00:00:01.5840477","","",""
"","","","","","","00:00:00.7128794","","","",""
"","","","","00:00:00.8921962","","","","","",""
"","","","00:00:00.4558108","","","","","","",""
"","","","","","","","00:00:00.4599825","","",""
"11","Who directed the 1983 film ET the Extra-Terrestrial?","Steven Spielberg","Quentin Tarantino","Stanley Kubrick","Martin Scorsese","Tom Hanks","Drew Barrymore","Robin Williams","Woody Allen","James Cameron"
"","","Highly Possitive","Slightly Possitive","Moderately Possitive","Moderately Negative","Idle","Highly Negative","Slightly Negative","Idle","Moderately Negative"
"","","","","","","","00:00:02.5390569","","",""
"","","","","00:00:00.0233969","","","","","",""
"","","","00:00:01.0545850","","","","","","",""
"","","00:00:01.7056778","","","","","","","",""
"12","What country is also known as Persia?","Iran","Russia","Poland","France","Lebanon","Egypt","China","India","Saudi Arabia"
"","","Highly Possitive","Slightly Negative","Idle","Moderately Possitive","Moderately Negative","Moderately Negative","Highly Negative","Slightly Possitive","Idle"
"","","00:00:04.1091583","","","","","","","",""
"","","","","","","","00:00:01.2842016","","",""
"","","","","","","00:00:01.1456451","","","",""
"","","","","","","","","","00:00:00.7157171",""
"","","","","","","","","","","00:00:00.7104573"
"","","","","","","","","","00:00:00.0428971",""
"","","","","","","","","00:00:00.6541362","",""
"","","","","","00:00:00.0425242","","","","",""
"","","","","","00:00:00.9682140","","","","",""
"","","00:00:01.1959235","","","","","","","",""
"13","The disease bronchitis is associated with:","Kidney","Trachea","Brain","Esophagus","Lungs","Heart","Sinuses","Liver","Forhead Veins"
"","","Highly Possitive","Moderately Possitive","Slightly Possitive","Moderately Negative","Idle","Moderately Negative","Highly Negative","Slightly Negative","Idle"
"","","00:00:04.1814914","","","","","","","",""
"14","World War I commenced in:","1958","1922","1940","1899","1914","1901","1880","1953","1963"
"","","Moderately Negative","Idle","Idle","Slightly Negative","Highly Possitive","Moderately Negative","Slightly Possitive","Moderately Possitive","Highly Negative"
"","","","00:00:03.1297662","","","","","","",""
"","","00:00:00.8494338","","","","","","","",""
"","","","00:00:00.0432188","","","","","","",""
"","","","","00:00:01.0031426","","","","","",""
"","","","00:00:01.1894664","","","","","","",""
"","","","","","","","00:00:00.7421372","","",""
"","","","","","","","","","","00:00:00.8179814"
"","","","","","","00:00:01.2710073","","","",""
"15","The small republic of San Marino is completely surrounded by which larger country?","Iraq","Japan","Iran","Iceland","Israel","Ireland","India","Indonesia","Italy"
"","","Idle","Slightly Possitive","Moderately Negative","Idle","Highly Negative","Slightly Negative","Moderately Possitive","Moderately Negative","Highly Possitive"
"","","","","","","00:00:02.1794421","","","",""
"","","","00:00:01.2822689","","","","","","",""
"","","","","00:00:01.0108454","","","","","",""
"","","","","","","","00:00:01.1627163","","",""
"","","","","","","","","","","00:00:00.9600373"
"","","","","","","","","","00:00:00.6826429",""
"","","","","","","00:00:00.8297784","","","",""
"","","","","","","","","00:00:01.0320192","",""
"","","","","","00:00:00.9710444","","","","",""
"","","00:00:00.7115249","","","","","","","",""
"","","","","","","00:00:00.0232863","","","",""
"","","","","","","","","","00:00:00.0211876",""
"","","","","","","","","","","00:00:00.0217795"
"","","","","","","","","","","00:00:00.5872942"
"16","What is cherry blossom known as in Japanese?","Sophora","Sayonara","Sirrah","Sudoku","Sarah","Samurai","Sonora","Sumach","Sakura"
"","","Moderately Negative","Idle","Highly Negative","Slightly Negative","Highly Possitive","Slightly Possitive","Moderately Negative","Idle","Moderately Possitive"
"","","","","","","","00:00:02.7723578","","",""
"","","","00:00:00.0216452","","","","","","",""
"","","00:00:00.3468216","","","","","","","",""
"","","","00:00:00.5879531","","","","","","",""
"","","","","00:00:00.5570126","","","","","",""
"","","","","","","","00:00:00.1793622","","",""
"","","","","","","","","","","00:00:00.0432793"
"","","","","","","","","","","00:00:01.8197874"
"","","","","","","","","","00:00:00.8835524",""
"","","","","","","","","00:00:00.6500529","",""
"","","","","","00:00:00.9300707","","","","",""
"","","","","","","00:00:01.4635496","","","",""
"","","","","","","","00:00:00.6230494","","",""
"","","","","","","","","","","00:00:00.0460138"
"","","","","","","","","","","00:00:02.4268234"
"","","","","","","","00:00:00.0412529","","",""
"","","","","00:00:00.7246058","","","","","",""
"","","","00:00:00.8575615","","","","","","",""
"","","00:00:01.1837884","","","","","","","",""
"","","","","","","00:00:00.0215409","","","",""
"","","","","","","","","","00:00:00.0884389",""
"","","","","","","","","","","00:00:00.0217647"
"","","","","","","","","","","00:00:00.6332894"
"17","The Spanish flag consists of which two colours?","Yellow and green","Green and blue","Black and red","Black and green","Green and white","Blue and yellow","White and yellow","Red and yellow","Red and Blue"
"","","Moderately Possitive","Moderately Negative","Highly Possitive","Slightly Possitive","Slightly Negative","Moderately Negative","Highly Negative","Idle","Idle"
"","","","","","","","","","","00:00:03.0426278"
"","","","","","","","00:00:00.1545180","","",""
"","","","","00:00:02.5368265","","","","","",""
"18","For what occupation was Jesus trained?","Butcher","Haymonger","Chandler","Teacher","Holster","Lumberjack","Jagger","Carpenter","Hind"
"","","Slightly Possitive","Idle","Moderately Possitive","Highly Negative","Moderately Negative","Slightly Negative","Idle","Highly Possitive","Moderately Negative"
"","","","","00:00:02.5520895","","","","","",""
"","","","","00:00:00.8404233","","","","","",""
"","","","00:00:00.8607720","","","","","","",""
"","","00:00:01.0549495","","","","","","","",""
"","","","","","00:00:00.7959428","","","","",""
"","","","","","","00:00:00.9071235","","","",""
"","","","","","","","00:00:01.1580403","","",""
"","","","","","","","","","","00:00:00.9016655"
"","","","","","","","","","00:00:01.0166138",""
"","","","","","","","","00:00:00.8411647","",""
"","","","","","","","","","00:00:01.7552960",""
"19","What is the capital of the Taiwan?","Kuala Lumpur","Bangkok","Kathmandu","Lhasa","Jakarta","Taipei","Hanoi","Dhaka","Manila"
"","","Slightly Possitive","Highly Negative","Idle","Moderately Negative","Moderately Possitive","Highly Possitive","Idle","Moderately Negative","Slightly Negative"
"","","","00:00:03.6284909","","","","","","",""
"","","00:00:00.6481692","","","","","","","",""
"","","","00:00:01.2374462","","","","","","",""
"","","","","00:00:00.7433259","","","","","",""
"","","","","","","","","","","00:00:00.2135814"
"","","","","","","","00:00:01.2964501","","",""
"20","In which country will you find Machu Picchu?","Ecuador","Peru","Chile","Colombia","Argentina","Mexico","Paraguay","Brazil","Uraguay"
"","","Moderately Negative","Highly Possitive","Idle","Idle","Moderately Possitive","Slightly Negative","Slightly Possitive","Highly Negative","Moderately Negative"
"","","","","","","","00:00:02.4865364","","",""
"","","","","00:00:01.2560846","","","","","",""
"","","","00:00:01.8621283","","","","","","",""
"","","00:00:00.8015490","","","","","","","",""
"","","","","","00:00:01.0992167","","","","",""
"","","","","","","","","00:00:01.1142145","",""
"","","","","","","","","","00:00:00.5648120",""
"","","","","","","","","","","00:00:00.5804855"
"","","","","","","","00:00:00.4852140","","",""
"","","","","","","00:00:00.4902052","","","",""
"","","","00:00:00.7768510","","","","","","",""
"21","Which tree grows from an acorn?","Elm","Hawthorn","Birch","Ash","Pine","Oak","Larch","Lime","Maple"
"","","Highly Negative","Idle","Slightly Negative","Idle","Slightly Possitive","Highly Possitive","Moderately Possitive","Moderately Negative","Moderately Negative"
"","","","00:00:04.2649247","","","","","","",""
"","","","","","","","00:00:01.4607991","","",""
"","","","","","","","","","","00:00:00.5143851"
"","","","","","","","","","00:00:00.3400248",""
"","","","","","","","","00:00:00.0648508","",""
"","","","","","00:00:01.0692956","","","","",""
"","","","","","","","","00:00:00.8208913","",""
"","","","","","","00:00:00.0478674","","","",""
"","","","","","","00:00:00.7341160","","","",""
"","","00:00:00.5990527","","","","","","","",""
"","","","00:00:00.7161758","","","","","","",""
"","","","","","","","00:00:00.7560808","","",""
"22","Name the country which is the craddle of western classic music, known as The land of music?","Switzerland","England","Belgium","United States","Germany","Netherlands","Austria","Sweden","France"
"","","Moderately Negative","Moderately Negative","Highly Negative","Moderately Possitive","Idle","Idle","Highly Possitive","Slightly Negative","Slightly Possitive"
