"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"1","What is the highest point on the Earth continental crust?","Lhotse","Manaslu","Kangchenjunga","Mount Fiji","Mount Everest","Makalu","K2","Mount Damavand","Annapurna"
"","","Moderately Negative","Idle","Slightly Negative","Idle","Highly Possitive","Slightly Possitive","Highly Negative","Moderately Negative","Moderately Possitive"
"","","","","","00:00:00.7880308","","","","",""
"","","00:00:00.0889283","","","","","","","",""
"","","","00:00:00.1327748","","","","","","",""
"","","","","","","00:00:00.0462731","","","",""
"","","","","","","00:00:01.5564207","","","",""
"","","","","","00:00:02.0006691","","","","",""
"","","00:00:00.9496180","","","","","","","",""
"","","","00:00:01.8417671","","","","","","",""
"","","","","00:00:01.3350000","","","","","",""
"","","","","","","","00:00:01.3825441","","",""
"","","","","","","","","","","00:00:01.3959919"
"","","","","","","","","","00:00:01.5900952",""
"","","","","","","","","00:00:01.3640951","",""
"","","","","","00:00:01.7973848","","","","",""
"","","","","","","00:00:01.4931131","","","",""
"2","Which two colors make purple?","Green and Orange","Red and Green","None","Red and Grey","Red and Blue","Orange and White","Blue and Yellow","White and Red","Grey and Orange"
"","","Highly Negative","Idle","Moderately Possitive","Idle","Highly Possitive","Slightly Negative","Slightly Possitive","Moderately Negative","Moderately Negative"
"","","","","","","00:00:03.4420160","","","",""
"","","00:00:00.9838822","","","","","","","",""
"","","","00:00:00.3203483","","","","","","",""
"","","","","00:00:00.2551375","","","","","",""
"","","","00:00:01.0877862","","","","","","",""
"","","","","00:00:00.6494726","","","","","",""
"","","","","","","","00:00:01.5760164","","",""
"","","","","","","","","","","00:00:00.8945768"
"","","","","","","","","","00:00:01.5611006",""
"","","","","","","","","00:00:01.2996195","",""
"","","","","","00:00:01.0286500","","","","",""
"","","","","","","00:00:00.0453402","","","",""
"","","","","","","00:00:01.7411223","","","",""
"3","Which fruits are most commonly used to make wine?","Wheat","Grapes","Potatoes","Lemons","Blackberry","Oranges","Pear","Strawberries","Apples"
"","","Slightly Possitive","Highly Possitive","Idle","Slightly Negative","Moderately Possitive","Moderately Negative","Moderately Negative","Idle","Highly Negative"
"","","","","","","00:00:02.9386175","","","",""
"","","","00:00:00.8694724","","","","","","",""
"","","","","","","00:00:00.7874047","","","",""
"","","","","","00:00:00.6484375","","","","",""
"","","00:00:01.3269899","","","","","","","",""
"","","","","","00:00:00.0220187","","","","",""
"","","","","","","","","00:00:00.1071547","",""
"","","","","","","","","00:00:00.8310703","",""
"","","","","","","","","","00:00:01.1133372",""
"","","","","","","","","","","00:00:00.8544138"
"","","","","","","","00:00:00.8424347","","",""
"","","","","00:00:00.9137182","","","","","",""
"","","","","","","","00:00:00.1350290","","",""
"","","","","","","00:00:00.8481607","","","",""
"","","","00:00:01.1140114","","","","","","",""
"4","Which Italian city has a famous leaning tower?","Turin","Rome","Siena","Pisa","Venice","Florence","Paris","Eiffel","Milan"
"","","Highly Negative","Idle","Moderately Negative","Highly Possitive","Idle","Slightly Possitive","Moderately Negative","Moderately Possitive","Slightly Negative"
"","","","00:00:03.3896370","","","","","","",""
"","","00:00:00.0224733","","","","","","","",""
"","","","","","00:00:00.0903844","","","","",""
"","","","","","00:00:01.6694433","","","","",""
"5","A common currency for the members of the Common Market in Europe is known as:","Forint","Pound","Leu","Dollar","Sterling","Franc","Krouna","Euro","Krone"
"","","Moderately Negative","Moderately Negative","Highly Negative","Idle","Slightly Negative","Moderately Possitive","Idle","Highly Possitive","Slightly Possitive"
"","","","","","00:00:02.7095418","","","","",""
"","","00:00:00.7862254","","","","","","","",""
"","","","00:00:00.8873821","","","","","","",""
"","","","","00:00:00.9324759","","","","","",""
"","","","","","","","00:00:00.9158368","","",""
"","","","","","","","","","","00:00:00.8455476"
"","","","","","","00:00:00.0678660","","","",""
