"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"1","What is the highest point on the Earth continental crust?","Mount Damavand","Makalu","Mount Everest","Annapurna","Manaslu","Mount Fiji","K2","Lhotse","Kangchenjunga"
"","","Highly Possitive","Moderately Negative","Slightly Negative","Highly Negative","Moderately Negative","Slightly Possitive","Idle","Moderately Possitive","Idle"
"","","","","","","","","00:00:00.2669661","",""
"","","","","00:00:00.1380667","","","","","",""
"","","","","00:00:02.2043643","","","","","",""
"","","","00:00:01.0306999","","","","","","",""
"","","00:00:02.6565048","","","","","","","",""
"","","","","","00:00:01.4747487","","","","",""
"","","","","","","00:00:01.0384957","","","",""
"","","","","","","","00:00:01.4864893","","",""
"","","","","","","","","","","00:00:00.8291197"
"","","","","","","","","","00:00:01.8986576",""
"","","","","","","","","00:00:01.1002409","",""
"","","","","","00:00:00.0210959","","","","",""
"","","00:00:00.5998373","","","","","","","",""
"2","Which two colors make purple?","Red and Green","Orange and White","None","Red and Blue","Red and Grey","White and Red","Green and Orange","Grey and Orange","Blue and Yellow"
"","","Moderately Possitive","Highly Possitive","Moderately Negative","Highly Negative","Moderately Negative","Idle","Slightly Negative","Idle","Slightly Possitive"
"","","","00:00:02.0316048","","","","","","",""
"","","","00:00:00.0206146","","","","","","",""
"","","","","","00:00:01.1353604","","","","",""
"","","00:00:02.4879099","","","","","","","",""
"","","","00:00:02.7568347","","","","","","",""
"","","","","00:00:01.5518614","","","","","",""
"","","","","","","","00:00:00.9853296","","",""
"","","","","","","","","","","00:00:01.2024500"
"","","","","","","","","","00:00:01.0246331",""
"","","","","","","00:00:01.4885817","","","",""
"","","","","","","","","00:00:01.0255263","",""
"","","","","","00:00:01.0275926","","","","",""
"3","Which fruits are most commonly used to make wine?","Oranges","Apples","Wheat","Lemons","Blackberry","Strawberries","Pear","Grapes","Potatoes"
"","","Moderately Negative","Slightly Negative","Moderately Possitive","Idle","Idle","Slightly Possitive","Moderately Negative","Highly Possitive","Highly Negative"
"","","","","","00:00:02.5701274","","","","",""
"","","","","","","00:00:00.0444333","","","",""
"","","","","","","","","","00:00:01.2687496",""
"","","","","","","00:00:00.9175727","","","",""
"","","","00:00:00.7476413","","","","","","",""
"","","","","00:00:01.6957070","","","","","",""
"","","","00:00:00.0883382","","","","","","",""
"","","00:00:01.3944418","","","","","","","",""
"","","","","","00:00:01.0433860","","","","",""
"","","","","","","","","00:00:01.0454811","",""
"","","","","","","","","","00:00:00.5351698",""
"","","","","","","","","","","00:00:00.6033335"
"","","","","","","","00:00:01.0446305","","",""
"","","","","","","","","","00:00:00.9917061",""
"4","Which Italian city has a famous leaning tower?","Venice","Milan","Eiffel","Paris","Pisa","Rome","Florence","Siena","Turin"
"","","Idle","Moderately Possitive","Idle","Moderately Negative","Highly Possitive","Moderately Negative","Slightly Negative","Slightly Possitive","Highly Negative"
"","","","","","","","","","00:00:03.3921186",""
"","","","","","","00:00:02.1181850","","","",""
"5","A common currency for the members of the Common Market in Europe is known as:","Pound","Sterling","Franc","Leu","Euro","Krone","Dollar","Forint","Krouna"
"","","Highly Negative","Moderately Possitive","Moderately Negative","Slightly Possitive","Moderately Negative","Slightly Negative","Highly Possitive","Idle","Idle"
"","","","","","","00:00:02.7809999","","","",""
"","","","","00:00:00.2211596","","","","","",""
"","","","","","","00:00:00.8773642","","","",""
"","","00:00:03.1850384","","","","","","","",""
"","","","","","00:00:00.9140313","","","","",""
"","","","","","","","","00:00:04.5598589","",""
"","","","","","","","","00:00:00.9638070","",""
"","","","","","","","","","","00:00:00.6189267"
"","","","","","","","00:00:00.6940863","","",""
"","","","","00:00:00.5992577","","","","","",""
"","","","","","","","","","00:00:00.0206714",""
"","","","","","","","","","00:00:00.7531924",""
"","","","","","","00:00:00.6211312","","","",""
