"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"1","What is the highest point on the Earth continental crust?","Mount Damavand","Makalu","Annapurna","Mount Everest","Manaslu","Kangchenjunga","K2","Lhotse","Mount Fiji"
"","","Moderately Negative","Idle","Idle","Highly Possitive","Slightly Possitive","Slightly Negative","Moderately Possitive","Moderately Negative","Highly Negative"
"","","","00:00:12.6960312","","","","","","",""
"","","","00:00:00.0496936","","","","","","",""
"","","00:00:01.5861852","","","","","","","",""
"","","","","","00:00:04.3523651","","","","",""
"","","","00:00:01.3049712","","","","","","",""
"","","","","00:00:01.3047663","","","","","",""
"","","","","","","00:00:02.8723650","","","",""
"","","","","","","","","","00:00:01.8564846",""
"","","","","","","","","","","00:00:01.2730575"
"","","","","","","","","","00:00:00.0441242",""
"","","","","","","","","00:00:00.0491023","",""
"","","","","","","","","00:00:04.6076819","",""
"","","","","","00:00:01.8356762","","","","",""
"2","Which two colors make purple?","Red and Blue","Green and Orange","None","Blue and Yellow","Red and Grey","White and Red","Grey and Orange","Red and Green","Orange and White"
"","","Slightly Negative","Highly Possitive","Idle","Moderately Negative","Moderately Negative","Highly Negative","Slightly Possitive","Moderately Possitive","Idle"
"","","","","","00:00:12.6010888","","","","",""
"","","","","","","","","00:00:02.2112789","",""
"","","","","","","","","","00:00:03.8933209",""
"","","","","","","","","","","00:00:01.4800058"
"","","","","","","","00:00:01.5131331","","",""
"","","","","","","00:00:03.0553587","","","",""
"","","00:00:07.8000986","","","","","","","",""
"","","","","","00:00:00.0215529","","","","",""
"","","","","","","","","00:00:01.1008620","",""
"","","","","","","","","","00:00:01.0142633",""
"","","","","","","","","","","00:00:00.5558201"
"","","","","","","","00:00:00.0222425","","",""
"","","","","00:00:01.1192772","","","","","",""
"","","","00:00:00.0890196","","","","","","",""
"","","00:00:04.6456392","","","","","","","",""
"3","Which fruits are most commonly used to make wine?","Pear","Strawberries","Wheat","Blackberry","Lemons","Grapes","Apples","Oranges","Potatoes"
"","","Moderately Negative","Idle","Moderately Possitive","Highly Negative","Slightly Negative","Idle","Moderately Negative","Slightly Possitive","Highly Possitive"
"","","00:00:08.1924573","","","","","","","",""
"","","","00:00:01.1215712","","","","","","",""
"","","","","00:00:01.5206223","","","","","",""
"","","","","","","","00:00:02.4149284","","",""
"","","","","","","00:00:01.2173959","","","",""
"","","","","","00:00:01.0207501","","","","",""
"","","","","","","","","00:00:00.9450340","",""
"","","","","","","","","","00:00:01.1454152",""
"","","","","","","","","","","00:00:00.9262036"
"","","","","","","","00:00:01.4736578","","",""
"4","Which Italian city has a famous leaning tower?","Turin","Eiffel","Pisa","Venice","Siena","Rome","Florence","Milan","Paris"
"","","Moderately Negative","Moderately Possitive","Slightly Possitive","Slightly Negative","Idle","Idle","Moderately Negative","Highly Negative","Highly Possitive"
"","","","","","","","00:00:07.6113299","","",""
"","","","","00:00:02.0413920","","","","","",""
"","","","","","","","00:00:01.1061484","","",""
"","","","","","","","","","","00:00:00.9557485"
"","","","","","","","","","00:00:01.1123856",""
"","","","","","","","","00:00:01.1171604","",""
"","","","","","00:00:00.9920802","","","","",""
"","","00:00:01.0274932","","","","","","","",""
"","","","","","","00:00:01.0417748","","","",""
"","","","00:00:02.2408228","","","","","","",""
"","","","","00:00:00.8861697","","","","","",""
"5","A common currency for the members of the Common Market in Europe is known as:","Franc","Krouna","Pound","Euro","Dollar","Sterling","Forint","Leu","Krone"
"","","Highly Negative","Moderately Possitive","Slightly Possitive","Moderately Negative","Idle","Idle","Moderately Negative","Highly Possitive","Slightly Negative"
"","","","","00:00:08.1840147","","","","","",""
"","","","","","00:00:00.1424818","","","","",""
"","","","","","00:00:00.9536764","","","","",""
"","","","","00:00:01.2858728","","","","","",""
"","","","","","","","00:00:01.0461250","","",""
"","","","","","","","","","","00:00:01.0814676"
"","","","","","","","","","00:00:01.0375355",""
"","","","","","","00:00:00.7861596","","","",""
"","","","00:00:00.6396665","","","","","","",""
"","","00:00:01.1317520","","","","","","","",""
"","","","","","00:00:00.9893784","","","","",""
"","","","","","","","","00:00:00.9763639","",""
"","","","","","00:00:00.7665504","","","","",""
"6","Where is Palace of Versailles located at?","Greece","Argentina","France","Peru","Spain","Italy","Mexico","Chile","Brazil"
"","","Moderately Possitive","Moderately Negative","Idle","Slightly Possitive","Idle","Highly Negative","Slightly Negative","Moderately Negative","Highly Possitive"
"","","","","","00:00:05.7476440","","","","",""
"","","","","","","00:00:00.0458240","","","",""
"","","","","","","","00:00:01.1343144","","",""
"","","","","00:00:00.9331892","","","","","",""
"","","","00:00:01.1117420","","","","","","",""
"","","00:00:01.0003663","","","","","","","",""
"","","","","","00:00:00.6007411","","","","",""
"","","","","","","","","00:00:00.6514771","",""
"","","","","","","00:00:00.0451803","","","",""
"","","","","00:00:00.1411200","","","","","",""
"","","","","00:00:03.2380549","","","","","",""
"7","What is the common name for sodium chloride?","Ketchup","Salt","Baking powder","Mustard","Chocolate","Vinegar","Pepper","Turmeric","Syrup"
"","","Moderately Negative","Highly Possitive","Idle","Slightly Possitive","Moderately Negative","Highly Negative","Idle","Slightly Negative","Moderately Possitive"
"","","","","00:00:09.3264451","","","","","",""
"","","","00:00:04.7580420","","","","","","",""
"","","","","","00:00:01.0110083","","","","",""
"","","","","","","","","","00:00:01.0847229",""
"","","","","","","","","","","00:00:00.7150251"
"","","","","","","","00:00:00.0426257","","",""
"","","","","00:00:01.1361809","","","","","",""
"","","","00:00:01.3931119","","","","","","",""
"8","What is the main ingredient of omelette?","Egg","Sausage","Butter","Bacon","Milk","Onion","Potato","Garlic","Cheese"
"","","Slightly Possitive","Moderately Negative","Highly Negative","Idle","Highly Possitive","Idle","Slightly Negative","Moderately Negative","Moderately Possitive"
"","","","00:00:03.2636639","","","","","","",""
"","","00:00:03.8186412","","","","","","","",""
"","","","","","","","00:00:00.0237659","","",""
"","","","","","","","","","","00:00:00.0239102"
"","","","","","","","","","","00:00:01.4185259"
"","","","","","","00:00:00.0222900","","","",""
"","","","00:00:00.0221007","","","","","","",""
"","","00:00:01.9302596","","","","","","","",""
"","","","","","","00:00:00.0223423","","","",""
"","","","","","","","00:00:00.9201504","","",""
"","","","","00:00:00.9522745","","","","","",""
"","","","","","","00:00:01.1677278","","","",""
"","","","","","","","","00:00:01.4718462","",""
"","","","","","","","","","00:00:01.1397769",""
"","","","","","00:00:01.0601902","","","","",""
"","","00:00:01.0970103","","","","","","","",""
"","","","","","","00:00:00.0503790","","","",""
"","","","","","","","","","","00:00:01.4527728"
"","","","","","","00:00:00.0466211","","","",""
"","","00:00:00.8650789","","","","","","","",""
"9","Who is the King of the Gods in Greek Mythology?","Hera","Dionysus","Zeus","Poseidon","Demeter","Artemis","Athena","Apollo","Ares"
"","","Moderately Possitive","Moderately Negative","Highly Negative","Idle","Highly Possitive","Idle","Moderately Negative","Slightly Possitive","Slightly Negative"
"","","00:00:07.6744524","","","","","","","",""
"","","","00:00:00.0214310","","","","","","",""
"","","","","00:00:00.0253328","","","","","",""
"","","","","00:00:03.2779143","","","","","",""
"","","","","","","00:00:00.0456445","","","",""
"","","","","","00:00:00.0197267","","","","",""
"","","","","","00:00:00.4790965","","","","",""
"","","","","","","00:00:00.4959258","","","",""
"","","","","","","","","","00:00:00.6900278",""
"","","","","","","","","","","00:00:00.4182381"
"","","","","","","","00:00:00.5597012","","",""
"","","","","00:00:01.4144155","","","","","",""
"10","Sports car manufacturer Ferrari are based where?","Montevideo, Uruguay","Madrid, Spain","Maranello, Italy","Boulogne-Billancourt, France","Toulouse, France","Wolfsburg, Germany","Stuttgart, Germany","Malmo, Sweden","Luxembourg, Luxembourg"
"","","Slightly Possitive","Moderately Negative","Moderately Possitive","Idle","Slightly Negative","Highly Negative","Highly Possitive","Moderately Negative","Idle"
"","","","","00:00:09.9618660","","","","","",""
"","","","","","","","00:00:00.7912096","","",""
"","","","","","","00:00:00.0249500","","","",""
"","","00:00:00.8993853","","","","","","","",""
"","","","00:00:00.7427538","","","","","","",""
"","","","","","","00:00:00.9738429","","","",""
"","","","","","00:00:00.8669253","","","","",""
"","","","","","","","","00:00:01.5175136","",""
"","","","","","","","","","00:00:01.0151947",""
"","","","","","","","","","","00:00:00.9256225"
"","","","","","","","00:00:00.6454214","","",""
"","","","","00:00:01.8795780","","","","","",""
"11","Who directed the 1983 film ET the Extra-Terrestrial?","James Cameron","Martin Scorsese","Steven Spielberg","Tom Hanks","Robin Williams","Woody Allen","Quentin Tarantino","Stanley Kubrick","Drew Barrymore"
"","","Idle","Slightly Possitive","Highly Possitive","Idle","Highly Negative","Slightly Negative","Moderately Possitive","Moderately Negative","Moderately Negative"
"","","","","00:00:11.6379788","","","","","",""
"","","","00:00:00.0470985","","","","","","",""
"","","00:00:00.1349334","","","","","","","",""
"","","","00:00:06.7660266","","","","","","",""
"","","","","","","00:00:01.4640671","","","",""
"","","","","","","","","","00:00:03.6622360",""
"","","","","","","","","","","00:00:01.0116492"
"","","","","","","","","","00:00:01.4281643",""
"","","","","","","","","00:00:00.9653499","",""
"","","","","","","","","","00:00:02.0968622",""
"12","What country is also known as Persia?","Poland","Iran","Lebanon","Russia","Saudi Arabia","China","India","Egypt","France"
"","","Moderately Negative","Slightly Possitive","Highly Negative","Idle","Slightly Negative","Idle","Highly Possitive","Moderately Possitive","Moderately Negative"
"","","","","","","","","","00:00:02.7748941",""
"","","","","","","00:00:00.0445817","","","",""
"","","","00:00:00.0466908","","","","","","",""
"","","","00:00:01.2437032","","","","","","",""
"","","","","00:00:00.6890140","","","","","",""
"","","","","","","","00:00:00.6827607","","",""
"","","","","","","","","","","00:00:00.7176767"
"","","","","","","","","","00:00:00.8147555",""
"","","","","","","00:00:01.0955287","","","",""
"","","","00:00:00.8542909","","","","","","",""
"13","The disease bronchitis is associated with:","Brain","Liver","Esophagus","Forhead Veins","Trachea","Sinuses","Kidney","Lungs","Heart"
"","","Slightly Possitive","Idle","Slightly Negative","Idle","Moderately Possitive","Moderately Negative","Moderately Negative","Highly Possitive","Highly Negative"
"","","","00:00:05.0706862","","","","","","",""
"","","","","00:00:00.0448054","","","","","",""
"","","","","00:00:00.9198475","","","","","",""
"","","","","","","","00:00:00.7598853","","",""
"","","","","","","","","","","00:00:00.6972154"
"","","","","","","00:00:00.0233818","","","",""
"","","","","","00:00:00.6693141","","","","",""
"","","00:00:00.6400878","","","","","","","",""
"","","","","","00:00:00.0463425","","","","",""
"","","","","","","","","00:00:00.5209512","",""
"","","","","","","","","","00:00:01.2584174",""
"14","World War I commenced in:","1940","1953","1899","1914","1963","1958","1880","1922","1901"
"","","Moderately Possitive","Slightly Possitive","Highly Negative","Highly Possitive","Moderately Negative","Idle","Slightly Negative","Idle","Moderately Negative"
"","","","","","","","","","00:00:08.2515358",""
"","","","","","00:00:01.3142971","","","","",""
"","","","","","","00:00:00.7385548","","","",""
"","","","","","","","00:00:00.6024670","","",""
"","","","","","","","","","","00:00:00.7752853"
"","","","","","","","00:00:00.0231454","","",""
"","","","","00:00:00.8718193","","","","","",""
"","","","00:00:00.9327043","","","","","","",""
"","","00:00:00.8788281","","","","","","","",""
"","","","","","00:00:00.8350798","","","","",""
"","","","","","","","","00:00:00.8771509","",""
"","","","","","00:00:00.9010808","","","","",""
"15","The small republic of San Marino is completely surrounded by which larger country?","Indonesia","Japan","Ireland","Iceland","Italy","India","Iran","Iraq","Israel"
"","","Idle","Moderately Negative","Highly Possitive","Moderately Negative","Moderately Possitive","Slightly Negative","Slightly Possitive","Highly Negative","Idle"
"","","","","","00:00:06.8365698","","","","",""
"","","","","","","00:00:01.8668511","","","",""
"","","","","","00:00:00.0232698","","","","",""
"","","","","","","","","00:00:00.9082680","",""
"","","","","","","","","","00:00:00.6854568",""
"","","","","","","","","","","00:00:00.7248243"
"","","","","","","","00:00:00.7247882","","",""
"","","","","00:00:00.9132834","","","","","",""
"","","","","","","00:00:00.0215232","","","",""
"","","","","","00:00:00.1952700","","","","",""
"","","","","","","00:00:00.6967869","","","",""
"16","What is cherry blossom known as in Japanese?","Samurai","Sophora","Sirrah","Sudoku","Sakura","Sarah","Sonora","Sumach","Sayonara"
"","","Moderately Possitive","Moderately Negative","Slightly Possitive","Idle","Highly Possitive","Moderately Negative","Slightly Negative","Idle","Highly Negative"
"","","","","","","00:00:11.6406085","","","",""
"","","","","","00:00:00.0216663","","","","",""
"","","00:00:01.0655545","","","","","","","",""
"","","","","","00:00:00.8493440","","","","",""
"","","","","","","","","00:00:01.0285280","",""
"","","","","","","","","","00:00:00.7515897",""
"","","","","","","00:00:01.2980291","","","",""
"","","","00:00:00.6786656","","","","","","",""
"","","","","00:00:00.9775285","","","","","",""
"","","","","","","","00:00:00.7373282","","",""
"","","","","","","","","","","00:00:00.8677603"
"","","","","","","00:00:00.5616272","","","",""
"17","The Spanish flag consists of which two colours?","Yellow and green","Black and red","White and yellow","Black and green","Green and white","Red and Blue","Red and yellow","Green and blue","Blue and yellow"
"","","Idle","Moderately Possitive","Idle","Highly Negative","Slightly Negative","Highly Possitive","Moderately Negative","Moderately Negative","Slightly Possitive"
"","","","","","","00:00:18.2282527","","","",""
"","","","","","","","","00:00:01.5194156","",""
"18","For what occupation was Jesus trained?","Carpenter","Lumberjack","Hind","Holster","Teacher","Chandler","Jagger","Butcher","Haymonger"
"","","Idle","Moderately Negative","Moderately Possitive","Highly Possitive","Highly Negative","Slightly Possitive","Moderately Negative","Idle","Slightly Negative"
"","","","","","","","","00:00:06.4817079","",""
"","","","","","00:00:00.0659304","","","","",""
"","","00:00:04.0551794","","","","","","","",""
"19","What is the capital of the Taiwan?","Manila","Hanoi","Kathmandu","Dhaka","Kuala Lumpur","Jakarta","Taipei","Lhasa","Bangkok"
"","","Slightly Negative","Moderately Negative","Highly Negative","Highly Possitive","Idle","Moderately Negative","Slightly Possitive","Idle","Moderately Possitive"
"","","00:00:05.6951078","","","","","","","",""
"","","","","","00:00:00.0453236","","","","",""
"","","","","","","","","00:00:01.4389407","",""
"","","","","","","","","","00:00:00.8512711",""
"","","","","","","","","","","00:00:01.3929133"
"","","","","","","","","","00:00:00.0440209",""
