"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"1","What is the highest point on the Earth continental crust?","Makalu","Mount Everest","Lhotse","K2","Mount Damavand","Kangchenjunga","Mount Fiji","Annapurna","Manaslu"
"","","Moderately Negative","Slightly Negative","Moderately Negative","Idle","Highly Negative","Slightly Possitive","Highly Possitive","Moderately Possitive","Idle"
"","","","","","","","00:00:05.5834218","","",""
"","","","","","","00:00:00.2060037","","","",""
"","","","","","","","","","","00:00:00.9723166"
"","","","","","","","","","00:00:00.0688562",""
"","","","","","","00:00:00.0670065","","","",""
"","","","00:00:02.1585143","","","","","","",""
"","","","","00:00:02.2338107","","","","","",""
"","","","","","","00:00:01.4539518","","","",""
"","","","","","","","00:00:02.2192854","","",""
"","","","","","","","","","","00:00:01.5932994"
"","","","","","","","","","00:00:01.6843107",""
"","","","","","","","","00:00:01.4975768","",""
"","","","","","00:00:02.8106778","","","","",""
"","","00:00:01.3004257","","","","","","","",""
"","","","","","00:00:00.0965472","","","","",""
"","","","","","","","","00:00:02.0744913","",""
"2","Which two colors make purple?","None","Red and Blue","Green and Orange","Orange and White","Red and Grey","Grey and Orange","Blue and Yellow","Red and Green","White and Red"
"","","Moderately Possitive","Highly Possitive","Moderately Negative","Idle","Slightly Possitive","Moderately Negative","Slightly Negative","Idle","Highly Negative"
"","","","","","","","","00:00:02.0710223","",""
"","","","","","","00:00:00.0447264","","","",""
"","","","00:00:00.8365731","","","","","","",""
"","","00:00:02.1935484","","","","","","","",""
"","","","00:00:00.4126298","","","","","","",""
"","","","","","","00:00:04.5003963","","","",""
"","","","","","","","","","00:00:00.0921489",""
"","","","","","","","","00:00:00.8990780","",""
"","","","","","","","","","00:00:00.3784477",""
"","","","","","","","","","","00:00:00.0710662"
"","","","","","","","00:00:00.1795089","","",""
"","","","","00:00:01.7225545","","","","","",""
"","","","","","","","00:00:06.4459044","","",""
"","","","","","","00:00:00.0506754","","","",""
"","","","00:00:04.6610613","","","","","","",""
