"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"1","What is the highest point on the Earth continental crust?","K2","Annapurna","Mount Fiji","Manaslu","Kangchenjunga","Mount Damavand","Makalu","Mount Everest","Lhotse"
"","","Idle","Idle","Highly Negative","Highly Possitive","Moderately Negative","Slightly Negative","Moderately Negative","Slightly Possitive","Moderately Possitive"
"","","","","","","","","","00:00:00.4705185",""
"","","","","00:00:00.0678677","","","","","",""
"","","","00:00:00.2952955","","","","","","",""
"","","00:00:01.0447126","","","","","","","",""
"","","","00:00:03.2651840","","","","","","",""
"","","","","00:00:01.1490095","","","","","",""
"","","","","","","","00:00:00.9907329","","",""
"","","","","","","00:00:01.1049336","","","",""
"","","","","","","","","","00:00:02.4204074",""
"2","Which two colors make purple?","Red and Blue","Red and Green","Orange and White","None","Red and Grey","Grey and Orange","Blue and Yellow","Green and Orange","White and Red"
"","","Highly Possitive","Highly Negative","Idle","Moderately Negative","Moderately Negative","Slightly Negative","Idle","Moderately Possitive","Slightly Possitive"
"","","","","","","","","","00:00:02.0494940",""
"","","00:00:01.1844261","","","","","","","",""
"","","","00:00:00.8974855","","","","","","",""
"","","","","00:00:00.5415345","","","","","",""
"","","","","00:00:00.4557723","","","","","",""
"","","","","","","","00:00:00.0678169","","",""
"","","","","","","","00:00:01.0372321","","",""
"","","","","","","00:00:01.4111866","","","",""
"","","","","","00:00:00.8976982","","","","",""
"","","","","","","","","00:00:00.8092850","",""
"","","","","","","","","","00:00:04.3947716",""
"","","","","","","00:00:00.0217230","","","",""
"","","00:00:00.2777087","","","","","","","",""
"3","Which fruits are most commonly used to make wine?","Lemons","Grapes","Pear","Oranges","Wheat","Blackberry","Apples","Potatoes","Strawberries"
"","","Slightly Possitive","Idle","Moderately Possitive","Highly Negative","Highly Possitive","Moderately Negative","Moderately Negative","Idle","Slightly Negative"
"","","","00:00:02.8733708","","","","","","",""
"","","00:00:00.1839991","","","","","","","",""
"","","","00:00:02.6746546","","","","","","",""
"","","","","00:00:00.4935318","","","","","",""
"","","","","","","00:00:01.7462378","","","",""
"","","","00:00:00.0457684","","","","","","",""
"","","","00:00:00.6351125","","","","","","",""
"","","","","","","00:00:00.1812393","","","",""
"","","","","","","","","","00:00:00.9347341",""
"","","","","","","","","00:00:00.8539920","",""
"","","","","","","00:00:00.8293826","","","",""
"4","Which Italian city has a famous leaning tower?","Pisa","Milan","Venice","Eiffel","Siena","Turin","Paris","Florence","Rome"
"","","Moderately Negative","Slightly Possitive","Moderately Possitive","Highly Negative","Idle","Highly Possitive","Moderately Negative","Idle","Slightly Negative"
"","","","","","","00:00:04.7993671","","","",""
"","","","00:00:01.8611578","","","","","","",""
"","","","","00:00:01.9579315","","","","","",""
"","","","00:00:01.0103581","","","","","","",""
"5","A common currency for the members of the Common Market in Europe is known as:","Dollar","Franc","Leu","Krone","Forint","Krouna","Pound","Sterling","Euro"
"","","Slightly Possitive","Idle","Highly Negative","Slightly Negative","Idle","Moderately Negative","Moderately Negative","Moderately Possitive","Highly Possitive"
"","","","00:00:09.1148548","","","","","","",""
"","","","","","","","00:00:00.2046492","","",""
"","","","","","","","","","","00:00:01.4655072"
"6","Where is Palace of Versailles located at?","Chile","Peru","Mexico","France","Greece","Italy","Argentina","Brazil","Spain"
"","","Idle","Highly Possitive","Moderately Possitive","Moderately Negative","Moderately Negative","Slightly Negative","Slightly Possitive","Idle","Highly Negative"
"","","00:00:06.5297846","","","","","","","",""
"","","","","","","00:00:00.0234078","","","",""
"","","","","","00:00:01.6860162","","","","",""
"","","","","","","00:00:00.0719637","","","",""
"","","","","","","","00:00:02.2138415","","",""
"","","","","","","","","","","00:00:00.0683192"
"","","","","","","","","","","00:00:01.2616048"
"","","","","","","","00:00:00.0232187","","",""
"","","","","","","00:00:00.0211849","","","",""
"","","","00:00:02.7882375","","","","","","",""
