"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"1","What is the highest point on the Earth continental crust?","Manaslu","Lhotse","Annapurna","Mount Everest","Mount Fiji","Mount Damavand","Kangchenjunga","Makalu","K2"
"","","Moderately Negative","Slightly Possitive","Moderately Possitive","Highly Possitive","Idle","Moderately Negative","Slightly Negative","Idle","Highly Negative"
"","","","","","","","","00:00:01.4016128","",""
"","","","","","","","00:00:00.1182606","","",""
"","","","","00:00:01.4285444","","","","","",""
"","","","00:00:01.8014101","","","","","","",""
"","","00:00:01.5359079","","","","","","","",""
"","","","","","00:00:06.8805922","","","","",""
"","","","","","","00:00:01.2701366","","","",""
"","","","00:00:00.0429245","","","","","","",""
"","","","00:00:00.0627810","","","","","","",""
"","","","","","00:00:00.5557683","","","","",""
"2","Which two colors make purple?","Orange and White","Red and Blue","None","Red and Grey","White and Red","Red and Green","Grey and Orange","Green and Orange","Blue and Yellow"
"","","Slightly Negative","Moderately Negative","Moderately Negative","Moderately Possitive","Highly Negative","Slightly Possitive","Idle","Highly Possitive","Idle"
"","","","","","00:00:05.5103917","","","","",""
"","","","","00:00:00.1349084","","","","","",""
"","","","00:00:08.7139644","","","","","","",""
"","","","","00:00:01.3713047","","","","","",""
"","","","","","","","00:00:00.2481425","","",""
"","","","","","","","","","","00:00:00.9362650"
"","","","","","","","","","00:00:02.1885272",""
"","","","","","","","","00:00:01.3825669","",""
"","","","","","00:00:01.5955337","","","","",""
"","","00:00:01.2321999","","","","","","","",""
"","","","00:00:00.2455510","","","","","","",""
"","","","","00:00:00.4247630","","","","","",""
"3","Which fruits are most commonly used to make wine?","Pear","Oranges","Lemons","Strawberries","Wheat","Potatoes","Grapes","Apples","Blackberry"
"","","Idle","Moderately Negative","Slightly Negative","Idle","Slightly Possitive","Highly Negative","Highly Possitive","Moderately Possitive","Moderately Negative"
"","","","00:00:02.1568367","","","","","","",""
"","","","","00:00:00.1355998","","","","","",""
"","","","00:00:02.2105138","","","","","","",""
"","","","","","00:00:00.1110686","","","","",""
"","","","","","","","","00:00:01.1211725","",""
"4","Which Italian city has a famous leaning tower?","Siena","Eiffel","Rome","Florence","Venice","Paris","Pisa","Milan","Turin"
"","","Idle","Highly Negative","Moderately Possitive","Idle","Moderately Negative","Slightly Possitive","Highly Possitive","Moderately Negative","Slightly Negative"
"","","","00:00:13.9791219","","","","","","",""
"","","","","","","00:00:00.9739932","","","",""
"","","","","00:00:01.5627044","","","","","",""
"5","A common currency for the members of the Common Market in Europe is known as:","Dollar","Pound","Sterling","Euro","Forint","Franc","Krouna","Leu","Krone"
"","","Idle","Moderately Possitive","Slightly Negative","Highly Possitive","Moderately Negative","Highly Negative","Moderately Negative","Idle","Slightly Possitive"
"","","","","","","","00:00:02.8676495","","",""
"","","","00:00:00.0442180","","","","","","",""
"","","","00:00:02.8814762","","","","","","",""
"","","","","","00:00:01.5700497","","","","",""
"6","Where is Palace of Versailles located at?","Italy","Spain","Brazil","Mexico","Chile","Argentina","Greece","France","Peru"
"","","Slightly Possitive","Idle","Moderately Negative","Highly Negative","Slightly Negative","Moderately Possitive","Moderately Negative","Highly Possitive","Idle"
"","","","00:00:02.1014539","","","","","","",""
"","","","00:00:01.5381250","","","","","","",""
"","","","","","","00:00:01.8068458","","","",""
"","","","","","","","","","00:00:01.9849819",""
"","","","","","","","","00:00:01.1299227","",""
"","","","","","","","","","00:00:00.1795777",""
"","","","","","","","","","","00:00:01.5727349"
"","","","","","","","00:00:01.8536650","","",""
"","","","","","","00:00:00.5546416","","","",""
"","","","","","","","","","00:00:00.7765327",""
"","","","","","00:00:01.1909394","","","","",""
"","","00:00:01.0982434","","","","","","","",""
